pet_id,name_zh,name_en,category,view,expression,action,filename,status
MM_PET_01,大太陽羊,Sunshine Sheep,view,front,neutral,standing,MM_PET_01_front_neutral_standing_v001.png,PENDING_GENERATION
MM_PET_01,大太陽羊,Sunshine Sheep,view,left45,neutral,standing,MM_PET_01_left45_neutral_standing_v001.png,PENDING_GENERATION
MM_PET_01,大太陽羊,Sunshine Sheep,view,right45,neutral,standing,MM_PET_01_right45_neutral_standing_v001.png,PENDING_GENERATION
MM_PET_01,大太陽羊,Sunshine Sheep,view,left_side,neutral,standing,MM_PET_01_left_side_neutral_standing_v001.png,PENDING_GENERATION
MM_PET_01,大太陽羊,Sunshine Sheep,view,right_side,neutral,standing,MM_PET_01_right_side_neutral_standing_v001.png,PENDING_GENERATION
MM_PET_01,大太陽羊,Sunshine Sheep,view,back,neutral,standing,MM_PET_01_back_neutral_standing_v001.png,PENDING_GENERATION
MM_PET_01,大太陽羊,Sunshine Sheep,expression,front,happy,standing,MM_PET_01_front_happy_standing_v001.png,PENDING_GENERATION
MM_PET_01,大太陽羊,Sunshine Sheep,expression,front,love,standing,MM_PET_01_front_love_standing_v001.png,PENDING_GENERATION
MM_PET_01,大太陽羊,Sunshine Sheep,expression,front,sad,standing,MM_PET_01_front_sad_standing_v001.png,PENDING_GENERATION
MM_PET_01,大太陽羊,Sunshine Sheep,expression,front,exhausted,standing,MM_PET_01_front_exhausted_standing_v001.png,PENDING_GENERATION
MM_PET_01,大太陽羊,Sunshine Sheep,expression,front,surprised,standing,MM_PET_01_front_surprised_standing_v001.png,PENDING_GENERATION
MM_PET_01,大太陽羊,Sunshine Sheep,expression,front,encouragement,standing,MM_PET_01_front_encouragement_standing_v001.png,PENDING_GENERATION
MM_PET_01,大太陽羊,Sunshine Sheep,action,front,neutral,eating,MM_PET_01_front_neutral_eating_v001.png,PENDING_GENERATION
MM_PET_01,大太陽羊,Sunshine Sheep,action,front,neutral,sleeping,MM_PET_01_front_neutral_sleeping_v001.png,PENDING_GENERATION
MM_PET_01,大太陽羊,Sunshine Sheep,action,front,neutral,standing,MM_PET_01_front_neutral_standing_v001.png,PENDING_GENERATION
MM_PET_01,大太陽羊,Sunshine Sheep,action,front,neutral,sitting,MM_PET_01_front_neutral_sitting_v001.png,PENDING_GENERATION
MM_PET_01,大太陽羊,Sunshine Sheep,action,front,neutral,talking,MM_PET_01_front_neutral_talking_v001.png,PENDING_GENERATION
MM_PET_01,大太陽羊,Sunshine Sheep,action,front,neutral,head_pat,MM_PET_01_front_neutral_head_pat_v001.png,PENDING_GENERATION
MM_PET_02,包子倉鼠,Bao Hamster,view,front,neutral,standing,MM_PET_02_front_neutral_standing_v001.png,PENDING_GENERATION
MM_PET_02,包子倉鼠,Bao Hamster,view,left45,neutral,standing,MM_PET_02_left45_neutral_standing_v001.png,PENDING_GENERATION
MM_PET_02,包子倉鼠,Bao Hamster,view,right45,neutral,standing,MM_PET_02_right45_neutral_standing_v001.png,PENDING_GENERATION
MM_PET_02,包子倉鼠,Bao Hamster,view,left_side,neutral,standing,MM_PET_02_left_side_neutral_standing_v001.png,PENDING_GENERATION
MM_PET_02,包子倉鼠,Bao Hamster,view,right_side,neutral,standing,MM_PET_02_right_side_neutral_standing_v001.png,PENDING_GENERATION
MM_PET_02,包子倉鼠,Bao Hamster,view,back,neutral,standing,MM_PET_02_back_neutral_standing_v001.png,PENDING_GENERATION
MM_PET_02,包子倉鼠,Bao Hamster,expression,front,happy,standing,MM_PET_02_front_happy_standing_v001.png,PENDING_GENERATION
MM_PET_02,包子倉鼠,Bao Hamster,expression,front,love,standing,MM_PET_02_front_love_standing_v001.png,PENDING_GENERATION
MM_PET_02,包子倉鼠,Bao Hamster,expression,front,sad,standing,MM_PET_02_front_sad_standing_v001.png,PENDING_GENERATION
MM_PET_02,包子倉鼠,Bao Hamster,expression,front,exhausted,standing,MM_PET_02_front_exhausted_standing_v001.png,PENDING_GENERATION
MM_PET_02,包子倉鼠,Bao Hamster,expression,front,surprised,standing,MM_PET_02_front_surprised_standing_v001.png,PENDING_GENERATION
MM_PET_02,包子倉鼠,Bao Hamster,expression,front,encouragement,standing,MM_PET_02_front_encouragement_standing_v001.png,PENDING_GENERATION
MM_PET_02,包子倉鼠,Bao Hamster,action,front,neutral,eating,MM_PET_02_front_neutral_eating_v001.png,PENDING_GENERATION
MM_PET_02,包子倉鼠,Bao Hamster,action,front,neutral,sleeping,MM_PET_02_front_neutral_sleeping_v001.png,PENDING_GENERATION
MM_PET_02,包子倉鼠,Bao Hamster,action,front,neutral,standing,MM_PET_02_front_neutral_standing_v001.png,PENDING_GENERATION
MM_PET_02,包子倉鼠,Bao Hamster,action,front,neutral,sitting,MM_PET_02_front_neutral_sitting_v001.png,PENDING_GENERATION
MM_PET_02,包子倉鼠,Bao Hamster,action,front,neutral,talking,MM_PET_02_front_neutral_talking_v001.png,PENDING_GENERATION
